"Win Rate","K:D","GPM","GDM","Game Duration","Kills/Game","Deaths/Game","Towers Killed","Towers Lost","FB%","FT%","DRAPG","DRA%","HERPG","Her%","DRA@15","TD@15","GD@15","NASHPG","NASH%","CSM","DPM","WPM","VWPM","WCPM"
0.2,0.63,1.637,-231,33.25,10.6,16.8,4.0,8.3,40.0,30.0,2.10,41.8,1.00,50.0,0.50,-0.5,-1.235,0.40,20.0,30.8,1.684,3.5,1.57,1.34
0.33,0.91,1.773,-36,32.53333333333333,13.0,14.3,5.3,7.4,83.3,50.0,1.83,40.5,0.92,45.8,0.83,-0.2,0.272,0.33,25.0,32.8,1.753,3.5,1.59,1.43
0.55,1.18,1.859,102,29.433333333333334,15.6,13.2,5.9,4.7,61.1,50.0,2.78,64.7,0.83,41.7,1.17,0.1,0.9,0.78,66.7,32.9,2.122,3.3,1.39,1.56
0.87,1.78,1.88,297,32.53333333333333,18.9,10.6,8.5,1.9,62.5,75.0,3.00,61.9,1.13,62.5,0.75,0.8,1.13,1.25,81.3,30.8,2.172,2.8,1.04,1.34
0.37,0.97,1.735,-21,30.783333333333335,12.6,13.0,5.0,7.1,50.0,37.5,2.38,51.5,0.75,37.5,1.13,-0.3,0.743,0.50,31.3,31.4,1.728,2.9,1.06,1.10
0.7,1.55,1.876,235,31.866666666666667,16.0,10.3,8.1,3.6,60.0,80.0,2.90,59.5,1.50,75.0,0.90,0.9,1.961,0.90,70.0,33.0,1.801,2.8,1.18,1.43
0.25,0.61,1.611,-245,38.31666666666667,10.9,17.9,4.0,9.4,62.5,37.5,2.00,36.2,0.63,31.3,0.75,-0.6,-0.155,0.75,27.1,30.1,1.599,3.4,1.37,1.24
0.36,0.66,1.722,-126,31.433333333333334,12.6,19.3,4.2,7.1,27.3,45.5,2.09,42.4,0.64,31.8,0.91,-0.4,-1.034,0.36,37.0,31.2,1.874,2.8,1.07,1.13
0.5,1.14,1.896,215,33.11666666666667,14.3,12.5,6.3,5.3,50.0,50.0,3.00,71.0,1.00,50.0,1.25,1.0,2.376,0.50,44.4,35.3,2.056,2.8,1.13,1.67
0.62,1.05,1.813,45,32.21666666666667,13.4,12.8,6.3,4.6,31.3,37.5,2.44,50.6,1.00,53.3,0.69,-0.3,-0.16,0.56,45.6,34.1,2.035,3.4,1.17,1.58
