Hive Athens EC	S11	GR	12	25.0%	0.64	1585	-305	31:02	11.2	17.3	2.4	8.7	41.7	16.7	2.08	43.4	0.83	41.7	1.00	-1.1	-1303	0.25	20.8	28.5	1831	2.7	1.02	0.95
HLE Challengers	S11	KR	10	60.0%	1.15	1792	45	32:19	13.0	11.3	6.5	4.7	30.0	60.0	2.40	48.5	0.50	30.0	0.70	-0.2	-80	1.10	48.3	33.2	1719	3.3	1.22	1.36
Hong Kong Attitude	S11	PCS	3	66.7%	1.80	1822	204	26:17	12.0	6.7	7.7	3.3	66.7	100.0	1.67	41.7	2.00	100.0	1.00	2.0	3655	0.67	66.7	30.6	1656	3.0	1.23	1.05
Illuminar Gaming	S11	PL	10	80.0%	1.61	1848	234	32:01	13.7	8.5	7.7	3.7	40.0	50.0	2.70	58.8	0.80	40.0	1.10	0.1	637	0.90	83.3	33.9	1837	3.0	1.14	1.24
Immortals	S11	NA	15	33.3%	0.85	1698	-160	32:15	11.2	13.1	3.9	7.5	26.7	26.7	1.47	30.1	1.07	53.3	0.33	-0.8	-1728	0.33	27.4	32.7	1687	3.5	1.29	1.42
Immortals Academy	S11	NA	9	55.6%	0.97	1754	-37	33:52	12.9	13.2	6.1	6.0	33.3	44.4	2.44	48.3	1.22	61.1	0.89	0.6	42	0.67	50.0	32.4	1886	3.1	1.27	1.47
Impunity	S11	PCS	4	50.0%	0.91	1713	-49	29:30	12.8	14.0	4.0	5.8	75.0	50.0	2.50	56.3	0.50	25.0	1.25	0.0	71	0.75	50.0	32.0	1658	2.7	1.01	1.22
Inaequalis	S11	CZ	11	9.1%	0.59	1560	-296	31:37	9.4	15.9	1.9	8.4	63.6	18.2	1.82	38.3	0.73	36.4	0.91	-0.4	-1704	0.18	13.6	29.0	1565	2.7	1.06	1.06
Infinity eSports	S11	LAT	8	87.5%	1.80	1852	233	35:30	14.6	8.1	8.8	3.3	62.5	75.0	3.25	63.9	1.25	62.5	0.88	0.6	592	1.25	73.8	34.1	1741	3.4	1.33	1.76
Inside Games	S11	CZ	11	81.8%	1.96	1912	277	30:49	21.0	10.7	7.8	3.6	63.6	54.5	2.82	57.6	1.27	68.2	1.00	-0.2	1243	1.00	85.0	31.3	2347	3.2	1.32	1.08
Inside Games Academy	S11	CZ	9	22.2%	0.59	1608	-311	30:11	10.8	18.2	3.1	8.1	55.6	22.2	1.44	29.4	0.67	38.9	0.67	-0.6	-1386	0.33	22.2	28.9	1551	3.3	1.27	1.13
